    12 id=   1 name=MapHeader tag=1
   124 id=   2 name=EstateMarkers tag=2
   553 id=   3 name=Scenario tag=3
   862 id=   4 name=Mission tag=4
  1458 id=   5 name=ScenarioEvent tag=5
  1711 id=   6 name=LoseAction tag=7
  1729 id=   7 name=ScenarioAction tag=0
  1776 id=   8 name=LordDiesTrigger tag=9
  1799 id=   9 name=Trigger tag=0
  1847 id=  10 name=WinAction tag=7
  1893 id=  11 name=GoodsAcquiredTrigger tag=9
  2146 id=  12 name=GoldAcquiredTrigger tag=9
  2222 id=  13 name=HonourAcquiredTrigger tag=9
  2300 id=  14 name=NoFoodInGranaryTrigger tag=9
  2383 id=  15 name=NoGongInYourEstatesTrigger tag=9
  2454 id=  16 name=NoRatsInYourEstatesTrigger tag=9
  2525 id=  17 name=NoCriminalsTrigger tag=9
  2588 id=  18 name=AlwaysTrigger tag=9
  2646 id=  19 name=EnemyGoodsAcquiredTrigger tag=9
  2908 id=  20 name=EnemyGoldAcquiredTrigger tag=9
  2993 id=  21 name=EnemyHonourAcquiredTrigger tag=9
  3080 id=  22 name=PopulationReachedTrigger tag=9
  3161 id=  23 name=NoPeopleLeftTrigger tag=9
  3225 id=  24 name=AnyEnemyOnMapTrigger tag=9
  3302 id=  25 name=AnyEnemyTroopOnMapTrigger tag=9
  3384 id=  26 name=NoEnemyOrInvasionsLeftTrigger tag=9
  3470 id=  27 name=AllYourTroopsDeadTrigger tag=9
  3539 id=  28 name=PercentTroopsKilledTrigger tag=9
  3630 id=  29 name=GetXTroopsTrigger tag=9
  3745 id=  30 name=LordDamagedTrigger tag=9
  3824 id=  31 name=EnemyLordDiesTrigger tag=9
  3889 id=  32 name=SpecificEnemyLordDiesTrigger tag=9
  3974 id=  33 name=RescueLordTrigger tag=9
  4048 id=  34 name=MultipleLordsDeadTrigger tag=9
  4136 id=  35 name=PlayerKillsLordXTrigger tag=9
  4216 id=  36 name=OtherLordsKillsLordXTrigger tag=9
