    12 id=   1 name=MapHeader tag=1
   124 id=   2 name=EstateMarkers tag=2
   553 id=   3 name=Scenario tag=3
   862 id=   4 name=Mission tag=4
  1458 id=   5 name=ScenarioEvent tag=5
  1719 id=   6 name=LoseAction tag=7
  1737 id=   7 name=ScenarioAction tag=0
  1784 id=   8 name=LordDiesTrigger tag=9
  1807 id=   9 name=Trigger tag=0
  1855 id=  10 name=WinAction tag=7
  1901 id=  11 name=GoodsAcquiredTrigger tag=9
  2154 id=  12 name=GoldAcquiredTrigger tag=9
  2230 id=  13 name=HonourAcquiredTrigger tag=9
  2308 id=  14 name=NoFoodInGranaryTrigger tag=9
  2391 id=  15 name=NoGongInYourEstatesTrigger tag=9
  2462 id=  16 name=NoRatsInYourEstatesTrigger tag=9
  2533 id=  17 name=NoCriminalsTrigger tag=9
  2596 id=  18 name=AlwaysTrigger tag=9
  2654 id=  19 name=EnemyGoodsAcquiredTrigger tag=9
  2916 id=  20 name=EnemyGoldAcquiredTrigger tag=9
  3001 id=  21 name=EnemyHonourAcquiredTrigger tag=9
  3088 id=  22 name=PopulationReachedTrigger tag=9
  3169 id=  23 name=NoPeopleLeftTrigger tag=9
  3233 id=  24 name=AnyEnemyOnMapTrigger tag=9
  3310 id=  25 name=AnyEnemyTroopOnMapTrigger tag=9
  3392 id=  26 name=NoEnemyOrInvasionsLeftTrigger tag=9
  3478 id=  27 name=AllYourTroopsDeadTrigger tag=9
  3547 id=  28 name=PercentTroopsKilledTrigger tag=9
  3638 id=  29 name=GetXTroopsTrigger tag=9
  3753 id=  30 name=LordDamagedTrigger tag=9
  3832 id=  31 name=EnemyLordDiesTrigger tag=9
  3897 id=  32 name=SpecificEnemyLordDiesTrigger tag=9
  3982 id=  33 name=RescueLordTrigger tag=9
  4056 id=  34 name=MultipleLordsDeadTrigger tag=9
  4144 id=  35 name=PlayerKillsLordXTrigger tag=9
  4224 id=  36 name=OtherLordsKillsLordXTrigger tag=9
  4308 id=  37 name=SpecificLordKillsLordXTrigger tag=9
  4398 id=  38 name=OutlawCampDestroyedTrigger tag=9
