    12 id=   1 name=MapHeader tag=1
   124 id=   2 name=EstateMarkers tag=2
   553 id=   3 name=Scenario tag=3
   862 id=   4 name=Mission tag=4
  1458 id=   5 name=ScenarioEvent tag=5
  1699 id=   6 name=LoseAction tag=7
  1717 id=   7 name=ScenarioAction tag=0
  1764 id=   8 name=LordDiesTrigger tag=9
  1787 id=   9 name=Trigger tag=0
  1835 id=  10 name=WinAction tag=7
  1881 id=  11 name=GoodsAcquiredTrigger tag=9
  2134 id=  12 name=GoldAcquiredTrigger tag=9
  2210 id=  13 name=HonourAcquiredTrigger tag=9
  2288 id=  14 name=NoFoodInGranaryTrigger tag=9
  2371 id=  15 name=NoGongInYourEstatesTrigger tag=9
  2442 id=  16 name=NoRatsInYourEstatesTrigger tag=9
  2513 id=  17 name=NoCriminalsTrigger tag=9
  2576 id=  18 name=AlwaysTrigger tag=9
  2634 id=  19 name=EnemyGoodsAcquiredTrigger tag=9
  2896 id=  20 name=EnemyGoldAcquiredTrigger tag=9
  2981 id=  21 name=EnemyHonourAcquiredTrigger tag=9
  3068 id=  22 name=PopulationReachedTrigger tag=9
  3149 id=  23 name=NoPeopleLeftTrigger tag=9
  3213 id=  24 name=AnyEnemyOnMapTrigger tag=9
  3290 id=  25 name=AnyEnemyTroopOnMapTrigger tag=9
  3372 id=  26 name=NoEnemyOrInvasionsLeftTrigger tag=9
  3458 id=  27 name=AllYourTroopsDeadTrigger tag=9
  3527 id=  28 name=PercentTroopsKilledTrigger tag=9
  3618 id=  29 name=GetXTroopsTrigger tag=9
  3733 id=  30 name=LordDamagedTrigger tag=9
  3812 id=  31 name=EnemyLordDiesTrigger tag=9
  3877 id=  32 name=SpecificEnemyLordDiesTrigger tag=9
  3962 id=  33 name=RescueLordTrigger tag=9
