    12 id=   1 name=MapHeader tag=1
   124 id=   2 name=EstateMarkers tag=2
   553 id=   3 name=Scenario tag=3
   862 id=   4 name=Mission tag=4
  1458 id=   5 name=ScenarioEvent tag=5
  1703 id=   6 name=LoseAction tag=7
  1721 id=   7 name=ScenarioAction tag=0
  1768 id=   8 name=LordDiesTrigger tag=9
  1791 id=   9 name=Trigger tag=0
  1839 id=  10 name=WinAction tag=7
  1885 id=  11 name=GoodsAcquiredTrigger tag=9
  2138 id=  12 name=GoldAcquiredTrigger tag=9
  2214 id=  13 name=HonourAcquiredTrigger tag=9
  2292 id=  14 name=NoFoodInGranaryTrigger tag=9
  2375 id=  15 name=NoGongInYourEstatesTrigger tag=9
  2446 id=  16 name=NoRatsInYourEstatesTrigger tag=9
  2517 id=  17 name=NoCriminalsTrigger tag=9
  2580 id=  18 name=AlwaysTrigger tag=9
  2638 id=  19 name=EnemyGoodsAcquiredTrigger tag=9
  2900 id=  20 name=EnemyGoldAcquiredTrigger tag=9
  2985 id=  21 name=EnemyHonourAcquiredTrigger tag=9
  3072 id=  22 name=PopulationReachedTrigger tag=9
  3153 id=  23 name=NoPeopleLeftTrigger tag=9
  3217 id=  24 name=AnyEnemyOnMapTrigger tag=9
  3294 id=  25 name=AnyEnemyTroopOnMapTrigger tag=9
  3376 id=  26 name=NoEnemyOrInvasionsLeftTrigger tag=9
  3462 id=  27 name=AllYourTroopsDeadTrigger tag=9
  3531 id=  28 name=PercentTroopsKilledTrigger tag=9
  3622 id=  29 name=GetXTroopsTrigger tag=9
  3737 id=  30 name=LordDamagedTrigger tag=9
  3816 id=  31 name=EnemyLordDiesTrigger tag=9
  3881 id=  32 name=SpecificEnemyLordDiesTrigger tag=9
  3966 id=  33 name=RescueLordTrigger tag=9
  4040 id=  34 name=MultipleLordsDeadTrigger tag=9
