    12 id=   1 name=MapHeader tag=1
   124 id=   2 name=EstateMarkers tag=2
   553 id=   3 name=Scenario tag=3
   862 id=   4 name=Mission tag=4
  1458 id=   5 name=ScenarioEvent tag=5
  1763 id=   6 name=LoseAction tag=7
  1781 id=   7 name=ScenarioAction tag=0
  1828 id=   8 name=LordDiesTrigger tag=9
  1851 id=   9 name=Trigger tag=0
  1899 id=  10 name=WinAction tag=7
  1945 id=  11 name=GoodsAcquiredTrigger tag=9
  2198 id=  12 name=GoldAcquiredTrigger tag=9
  2274 id=  13 name=HonourAcquiredTrigger tag=9
  2352 id=  14 name=NoFoodInGranaryTrigger tag=9
  2435 id=  15 name=NoGongInYourEstatesTrigger tag=9
  2506 id=  16 name=NoRatsInYourEstatesTrigger tag=9
  2577 id=  17 name=NoCriminalsTrigger tag=9
  2640 id=  18 name=AlwaysTrigger tag=9
  2698 id=  19 name=EnemyGoodsAcquiredTrigger tag=9
  2960 id=  20 name=EnemyGoldAcquiredTrigger tag=9
  3045 id=  21 name=EnemyHonourAcquiredTrigger tag=9
  3132 id=  22 name=PopulationReachedTrigger tag=9
  3213 id=  23 name=NoPeopleLeftTrigger tag=9
  3277 id=  24 name=AnyEnemyOnMapTrigger tag=9
  3354 id=  25 name=AnyEnemyTroopOnMapTrigger tag=9
  3436 id=  26 name=NoEnemyOrInvasionsLeftTrigger tag=9
  3522 id=  27 name=AllYourTroopsDeadTrigger tag=9
  3591 id=  28 name=PercentTroopsKilledTrigger tag=9
  3682 id=  29 name=GetXTroopsTrigger tag=9
  3797 id=  30 name=LordDamagedTrigger tag=9
  3876 id=  31 name=EnemyLordDiesTrigger tag=9
  3941 id=  32 name=SpecificEnemyLordDiesTrigger tag=9
  4026 id=  33 name=RescueLordTrigger tag=9
  4100 id=  34 name=MultipleLordsDeadTrigger tag=9
  4188 id=  35 name=PlayerKillsLordXTrigger tag=9
  4268 id=  36 name=OtherLordsKillsLordXTrigger tag=9
  4352 id=  37 name=SpecificLordKillsLordXTrigger tag=9
  4442 id=  38 name=OutlawCampDestroyedTrigger tag=9
  4513 id=  39 name=BreachInWallTrigger tag=9
  4589 id=  40 name=EnemyTroopsOnWallsTrigger tag=9
  4671 id=  41 name=SomeEnemiesCloseToKeepTrigger tag=9
  4757 id=  42 name=ManyEnemiesCloseToKeepTrigger tag=9
  4843 id=  43 name=LiftSiegeTrigger tag=9
  4916 id=  44 name=EnemyNearMarkerTrigger tag=9
  5003 id=  45 name=QuestCompleteTrigger tag=9
  5079 id=  46 name=QuestNotCompleteTrigger tag=9
  5159 id=  47 name=SingleQuestCompleteTrigger tag=9
  5242 id=  48 name=NumQuestsCompleteTrigger tag=9
  5323 id=  49 name=QuestFailedTrigger tag=9
