    12 id=   1 name=MapHeader tag=1
   124 id=   2 name=EstateMarkers tag=2
   553 id=   3 name=Scenario tag=3
   862 id=   4 name=Mission tag=4
  1458 id=   5 name=ScenarioEvent tag=5
  1791 id=   6 name=LoseAction tag=7
  1809 id=   7 name=ScenarioAction tag=0
  1856 id=   8 name=LordDiesTrigger tag=9
  1879 id=   9 name=Trigger tag=0
  1927 id=  10 name=WinAction tag=7
  1973 id=  11 name=GoodsAcquiredTrigger tag=9
  2226 id=  12 name=GoldAcquiredTrigger tag=9
  2302 id=  13 name=HonourAcquiredTrigger tag=9
  2380 id=  14 name=NoFoodInGranaryTrigger tag=9
  2463 id=  15 name=NoGongInYourEstatesTrigger tag=9
  2534 id=  16 name=NoRatsInYourEstatesTrigger tag=9
  2605 id=  17 name=NoCriminalsTrigger tag=9
  2668 id=  18 name=AlwaysTrigger tag=9
  2726 id=  19 name=EnemyGoodsAcquiredTrigger tag=9
  2988 id=  20 name=EnemyGoldAcquiredTrigger tag=9
  3073 id=  21 name=EnemyHonourAcquiredTrigger tag=9
  3160 id=  22 name=PopulationReachedTrigger tag=9
  3241 id=  23 name=NoPeopleLeftTrigger tag=9
  3305 id=  24 name=AnyEnemyOnMapTrigger tag=9
  3382 id=  25 name=AnyEnemyTroopOnMapTrigger tag=9
  3464 id=  26 name=NoEnemyOrInvasionsLeftTrigger tag=9
  3550 id=  27 name=AllYourTroopsDeadTrigger tag=9
  3619 id=  28 name=PercentTroopsKilledTrigger tag=9
  3710 id=  29 name=GetXTroopsTrigger tag=9
  3825 id=  30 name=LordDamagedTrigger tag=9
  3904 id=  31 name=EnemyLordDiesTrigger tag=9
  3969 id=  32 name=SpecificEnemyLordDiesTrigger tag=9
  4054 id=  33 name=RescueLordTrigger tag=9
  4128 id=  34 name=MultipleLordsDeadTrigger tag=9
  4216 id=  35 name=PlayerKillsLordXTrigger tag=9
  4296 id=  36 name=OtherLordsKillsLordXTrigger tag=9
  4380 id=  37 name=SpecificLordKillsLordXTrigger tag=9
  4470 id=  38 name=OutlawCampDestroyedTrigger tag=9
  4541 id=  39 name=BreachInWallTrigger tag=9
  4617 id=  40 name=EnemyTroopsOnWallsTrigger tag=9
  4699 id=  41 name=SomeEnemiesCloseToKeepTrigger tag=9
  4785 id=  42 name=ManyEnemiesCloseToKeepTrigger tag=9
  4871 id=  43 name=LiftSiegeTrigger tag=9
  4944 id=  44 name=EnemyNearMarkerTrigger tag=9
  5031 id=  45 name=QuestCompleteTrigger tag=9
  5107 id=  46 name=QuestNotCompleteTrigger tag=9
  5187 id=  47 name=SingleQuestCompleteTrigger tag=9
  5270 id=  48 name=NumQuestsCompleteTrigger tag=9
  5351 id=  49 name=QuestFailedTrigger tag=9
  5426 id=  50 name=AfterBriefingTrigger tag=9
  5491 id=  51 name=NoMessagesPlayingTrigger tag=9
  5560 id=  52 name=ConstructedBuildingCompleteTrigger tag=9
  5655 id=  53 name=ConstructedBuildingPercentCompleteTrigger tag=9
  5757 id=  54 name=ControlNumEstatesTrigger tag=9
  5838 id=  55 name=NoBearsOnMapTrigger tag=9
  5914 id=  56 name=NoWolvesOnMapTrigger tag=9
